,index,artist,Unnamed: 0,artist_id,year,unique_length,num,avg
132,132,Idina Menzel,201,133,2014,39,1,39.0
133,133,Iggy Azalea & Charli XCX,202,134,2014,81,1,81.0
134,134,Iggy Azalea & Rita Ora,203,135,2014,63,1,63.0
135,135,Imagine Dragons,1449,952,14116,278,7,39.714285714285715
136,136,Imany,211,137,2016,24,1,24.0
137,137,J Balvin & Willy William,212,138,2017,88,1,88.0
138,138,J Balvin & Willy William & Beyonce,213,139,2017,88,1,88.0
139,139,James Arthur,429,280,4033,94,2,47.0
140,140,James Bay,433,282,4031,55,2,27.5
141,141,James Newton Howard & Jennifer Lawrence,218,142,2015,13,1,13.0
142,142,Jason Derulo,439,286,4029,48,2,24.0
143,143,Jason Derulo & 2 Chainz,221,144,2014,64,1,64.0
144,144,Jason Derulo & Snoop Dogg,222,145,2014,70,1,70.0
145,145,"Jason Derulo, Nicki Minaj & Ty Dolla Sign",223,146,2017,74,1,74.0
146,146,Jax Jones & RAYE,224,147,2017,34,1,34.0
147,147,Jennifer Lopez,225,148,2016,23,1,23.0
148,148,Jeremih,226,149,2016,27,1,27.0
149,149,Jeremih & YG,227,150,2014,73,1,73.0
150,150,Jess Glynne,228,151,2015,19,1,19.0
151,151,"Jessie J, Nicki Minaj & Ariana Grande",459,304,4029,130,2,65.0
152,152,John Legend,463,306,4029,76,2,38.0
153,153,John Newman,233,154,2014,17,1,17.0
154,154,Jon Bellion,234,155,2017,22,1,22.0
155,155,Jonas Blue,235,156,2016,46,1,46.0
156,156,Jonas Blue & William Singe,236,157,2017,34,1,34.0
157,157,"Jonas Blue, Jack & Jack",237,158,2018,25,1,25.0
158,158,Juice WRLD,238,159,2018,31,1,31.0
159,159,Julia Michaels,239,160,2017,24,1,24.0
160,160,Justin Bieber,1210,805,10078,136,5,27.2
161,161,Justin Bieber & BloodPop,245,162,2017,18,1,18.0
162,162,Justin Timberlake,741,489,6047,89,3,29.666666666666668
163,163,Justin Timberlake & Chris Stapleton,249,164,2018,19,1,19.0
164,164,Kane Brown,250,165,2018,21,1,21.0
165,165,Kanye West & Lil Pump,251,166,2018,58,1,58.0
166,166,Katy Perry,1014,668,8056,193,4,48.25
167,167,Katy Perry & Skip Marley,256,168,2017,47,1,47.0
